2012-06-08 11:25:46 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-08 11:31:11 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 11:36:34 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 11:40:34 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 11:45:07 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 11:50:36 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 11:55:04 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 11:59:38 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:03:25 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:07:25 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:11:58 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:15:45 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:19:45 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:24:19 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:28:06 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:32:06 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:36:39 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:40:42 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:44:26 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:49:00 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:54:29 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 12:58:44 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:03:36 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:09:17 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:13:19 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:18:36 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:20:37 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:22:42 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:25:53 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:26:51 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:28:46 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:32:31 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:35:05 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:37:00 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:39:36 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:41:08 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:43:17 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:46:25 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:47:25 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:49:20 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:53:24 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:55:39 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 13:57:35 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:00:30 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:01:43 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:03:51 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:07:35 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
